Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED1,SK6805-1515,41.203,86.099,Front,270,SK6805-1515 LED
LED2,SK6805-1515,-158.581,297.083,Front,314.9,SK6805-1515 LED
LED3,SK6805-1515,-157.701,296.202,Front,314.9,SK6805-1515 LED
LED4,SK6805-1515,-156.821,295.322,Front,314.9,SK6805-1515 LED
LED5,SK6805-1515,-155.94,294.442,Front,314.9,SK6805-1515 LED
LED6,SK6805-1515,-155.06,293.561,Front,314.9,SK6805-1515 LED
LED7,SK6805-1515,-154.18,292.681,Front,314.9,SK6805-1515 LED
LED8,SK6805-1515,-153.299,291.801,Front,314.9,SK6805-1515 LED
LED9,SK6805-1515,-152.419,290.92,Front,314.9,SK6805-1515 LED
LED10,SK6805-1515,-151.539,290.04,Front,314.9,SK6805-1515 LED
LED11,SK6805-1515,-150.658,289.16,Front,314.9,SK6805-1515 LED
LED12,SK6805-1515,-149.778,288.279,Front,314.9,SK6805-1515 LED
LED13,SK6805-1515,-148.898,287.399,Front,314.9,SK6805-1515 LED
LED14,SK6805-1515,-148.017,286.519,Front,314.9,SK6805-1515 LED
LED15,SK6805-1515,-163.901,302.411,Front,315.1,SK6805-1515 LED
LED16,SK6805-1515,-161.839,300.341,Front,315,SK6805-1515 LED
LED17,SK6805-1515,-159.774,298.275,Front,314.9,SK6805-1515 LED
LED18,SK6805-1515,49.733,86.1,Front,270,SK6805-1515 LED
LED19,SK6805-1515,-141.249,279.75,Front,314.9,SK6805-1515 LED
LED20,SK6805-1515,-140.369,278.871,Front,314.9,SK6805-1515 LED
LED21,SK6805-1515,-139.489,277.991,Front,314.9,SK6805-1515 LED
LED22,SK6805-1515,-138.61,277.111,Front,314.9,SK6805-1515 LED
LED23,SK6805-1515,-137.73,276.232,Front,314.9,SK6805-1515 LED
LED24,SK6805-1515,-136.85,275.352,Front,314.9,SK6805-1515 LED
LED25,SK6805-1515,-135.971,274.472,Front,314.9,SK6805-1515 LED
LED26,SK6805-1515,-135.091,273.593,Front,314.9,SK6805-1515 LED
LED27,SK6805-1515,-134.212,272.713,Front,314.9,SK6805-1515 LED
LED28,SK6805-1515,-133.332,271.833,Front,314.9,SK6805-1515 LED
LED29,SK6805-1515,-132.452,270.954,Front,314.9,SK6805-1515 LED
LED30,SK6805-1515,-131.573,270.074,Front,314.9,SK6805-1515 LED
LED31,SK6805-1515,-130.693,269.194,Front,314.9,SK6805-1515 LED
LED32,SK6805-1515,-146.714,285.211,Front,314.9,SK6805-1515 LED
LED33,SK6805-1515,-144.591,283.094,Front,314.8,SK6805-1515 LED
LED34,SK6805-1515,-142.463,280.982,Front,314.6,SK6805-1515 LED
LED35,SK6805-1515,58.264,86.1,Front,269.9,SK6805-1515 LED
LED36,SK6805-1515,-123.942,262.444,Front,314.9,SK6805-1515 LED
LED37,SK6805-1515,-123.063,261.564,Front,314.9,SK6805-1515 LED
LED38,SK6805-1515,-122.183,260.684,Front,314.9,SK6805-1515 LED
