Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED1,SK6805-1515,94.45,185.212,Front,224.2,SK6805-1515 LED
LED2,SK6805-1515,111.171,187.749,Front,223.9,SK6805-1515 LED
LED3,SK6805-1515,101.827,178.059,Front,223.9,SK6805-1515 LED
LED4,SK6805-1515,-1.722,104.017,Front,270,SK6805-1515 LED
LED5,SK6805-1515,0.634,104.017,Front,270,SK6805-1515 LED
LED6,SK6805-1515,2.99,104.017,Front,270,SK6805-1515 LED
LED7,SK6805-1515,5.346,104.017,Front,270,SK6805-1515 LED
LED8,SK6805-1515,7.702,104.017,Front,270,SK6805-1515 LED
LED9,SK6805-1515,10.058,104.017,Front,270,SK6805-1515 LED
LED10,SK6805-1515,12.414,104.017,Front,270,SK6805-1515 LED
LED11,SK6805-1515,14.77,104.017,Front,270,SK6805-1515 LED
LED12,SK6805-1515,17.126,104.017,Front,270,SK6805-1515 LED
LED13,SK6805-1515,32.423,104.017,Front,270,SK6805-1515 LED
LED14,SK6805-1515,35.032,103.826,Front,280.5,SK6805-1515 LED
LED15,SK6805-1515,37.487,103.074,Front,293.5,SK6805-1515 LED
LED16,SK6805-1515,39.71,101.789,Front,306.5,SK6805-1515 LED
LED17,SK6805-1515,41.589,100.04,Front,319.3,SK6805-1515 LED
LED18,SK6805-1515,43.031,97.915,Front,332.3,SK6805-1515 LED
LED19,SK6805-1515,43.959,95.521,Front,345.3,SK6805-1515 LED
LED20,SK6805-1515,44.33,76.417,Front,0,SK6805-1515 LED
LED21,SK6805-1515,44.33,73.994,Front,0,SK6805-1515 LED
LED22,SK6805-1515,44.33,71.571,Front,0,SK6805-1515 LED
LED23,SK6805-1515,44.33,69.301,Front,0,SK6805-1515 LED
LED24,SK6805-1515,44.33,67.013,Front,0,SK6805-1515 LED
LED25,SK6805-1515,44.33,64.725,Front,0,SK6805-1515 LED
LED26,SK6805-1515,44.33,62.437,Front,0,SK6805-1515 LED
LED27,SK6805-1515,44.33,60.149,Front,0,SK6805-1515 LED
LED28,SK6805-1515,44.33,57.861,Front,0,SK6805-1515 LED
LED29,SK6805-1515,44.422,55.665,Front,354.2,SK6805-1515 LED
LED30,SK6805-1515,44.8,53.389,Front,346.8,SK6805-1515 LED
LED31,SK6805-1515,45.467,51.181,Front,339.4,SK6805-1515 LED
LED32,SK6805-1515,46.412,49.078,Front,332.1,SK6805-1515 LED
LED33,SK6805-1515,47.618,47.112,Front,324.7,SK6805-1515 LED
LED34,SK6805-1515,49.065,45.316,Front,317.5,SK6805-1515 LED
LED35,SK6805-1515,50.728,43.718,Front,310.2,SK6805-1515 LED
LED36,SK6805-1515,52.581,42.344,Front,302.9,SK6805-1515 LED
LED37,SK6805-1515,54.593,41.217,Front,295.5,SK6805-1515 LED
LED38,SK6805-1515,56.734,40.358,Front,288.1,SK6805-1515 LED
LED39,SK6805-1515,58.967,39.781,Front,280.8,SK6805-1515 LED
LED40,SK6805-1515,61.255,39.494,Front,273.4,SK6805-1515 LED
LED41,SK6805-1515,63.563,39.46,Front,270,SK6805-1515 LED
LED42,SK6805-1515,65.871,39.46,Front,270,SK6805-1515 LED
LED43,SK6805-1515,68.179,39.46,Front,270,SK6805-1515 LED
LED44,SK6805-1515,70.487,39.46,Front,270,SK6805-1515 LED
LED45,SK6805-1515,72.795,39.46,Front,270,SK6805-1515 LED
LED46,SK6805-1515,98.303,39.472,Front,270,SK6805-1515 LED
LED47,SK6805-1515,100.708,39.472,Front,270,SK6805-1515 LED
LED48,SK6805-1515,103.113,39.472,Front,270,SK6805-1515 LED
LED49,SK6805-1515,105.518,39.472,Front,270,SK6805-1515 LED
LED50,SK6805-1515,107.843,39.472,Front,270,SK6805-1515 LED
LED51,SK6805-1515,110.228,39.472,Front,270,SK6805-1515 LED
LED52,SK6805-1515,112.613,39.472,Front,270,SK6805-1515 LED
LED53,SK6805-1515,114.998,39.472,Front,270,SK6805-1515 LED
LED54,SK6805-1515,117.383,39.472,Front,270,SK6805-1515 LED
LED55,SK6805-1515,119.768,39.472,Front,270,SK6805-1515 LED
LED56,SK6805-1515,122.062,39.472,Front,270,SK6805-1515 LED
LED57,SK6805-1515,124.295,39.472,Front,270,SK6805-1515 LED
LED58,SK6805-1515,126.525,39.563,Front,264.4,SK6805-1515 LED
LED59,SK6805-1515,128.73,39.906,Front,257.8,SK6805-1515 LED
LED60,SK6805-1515,130.882,40.499,Front,251.3,SK6805-1515 LED
LED61,SK6805-1515,132.951,41.335,Front,244.7,SK6805-1515 LED
LED62,SK6805-1515,134.912,42.401,Front,238.1,SK6805-1515 LED
LED63,SK6805-1515,136.737,43.685,Front,231.5,SK6805-1515 LED
LED64,SK6805-1515,138.404,45.169,Front,225,SK6805-1515 LED
LED65,SK6805-1515,139.801,46.599,Front,224.2,SK6805-1515 LED
LED66,SK6805-1515,141.428,48.267,Front,224.2,SK6805-1515 LED
LED67,SK6805-1515,143.056,49.936,Front,224.2,SK6805-1515 LED
LED68,SK6805-1515,144.684,51.605,Front,224.2,SK6805-1515 LED
LED69,SK6805-1515,146.311,53.273,Front,224.2,SK6805-1515 LED
LED70,SK6805-1515,148.029,54.845,Front,232,SK6805-1515 LED
LED71,SK6805-1515,149.953,56.118,Front,240.8,SK6805-1515 LED
LED72,SK6805-1515,152.124,57.11,Front,250,SK6805-1515 LED
LED73,SK6805-1515,154.424,57.745,Front,259.1,SK6805-1515 LED
LED74,SK6805-1515,156.796,58.008,Front,268.2,SK6805-1515 LED
LED75,SK6805-1515,175.941,58.016,Front,270,SK6805-1515 LED
LED76,SK6805-1515,178.29,58.016,Front,270,SK6805-1515 LED
LED77,SK6805-1515,180.639,58.016,Front,270,SK6805-1515 LED
LED78,SK6805-1515,182.988,58.016,Front,270,SK6805-1515 LED
LED79,SK6805-1515,185.337,58.016,Front,270,SK6805-1515 LED
LED80,SK6805-1515,187.686,58.016,Front,270,SK6805-1515 LED
LED81,SK6805-1515,190.035,58.016,Front,270,SK6805-1515 LED
LED82,SK6805-1515,192.384,58.016,Front,270,SK6805-1515 LED
LED83,SK6805-1515,194.733,58.016,Front,270,SK6805-1515 LED
LED84,SK6805-1515,200.625,58.016,Front,270,SK6805-1515 LED
LED85,SK6805-1515,202.868,58.016,Front,270,SK6805-1515 LED
LED86,SK6805-1515,119.862,5.222,Front,89.9,SK6805-1515 LED
LED87,SK6805-1515,14.727,146.094,Front,315,SK6805-1515 LED
LED88,SK6805-1515,-2.094,162.924,Front,315,SK6805-1515 LED
LED89,SK6805-1515,-0.274,161.102,Front,315,SK6805-1515 LED
LED90,SK6805-1515,1.547,159.281,Front,315,SK6805-1515 LED
LED91,SK6805-1515,3.367,157.46,Front,315,SK6805-1515 LED
LED92,SK6805-1515,7.556,153.269,Front,315,SK6805-1515 LED
LED93,SK6805-1515,9.25,151.574,Front,315,SK6805-1515 LED
LED94,SK6805-1515,10.944,149.879,Front,315,SK6805-1515 LED
LED95,SK6805-1515,12.637,148.185,Front,315,SK6805-1515 LED
LED96,SK6805-1515,16.812,144.009,Front,315,SK6805-1515 LED
LED97,SK6805-1515,18.73,142.089,Front,315,SK6805-1515 LED
LED98,SK6805-1515,20.649,140.169,Front,315,SK6805-1515 LED
LED99,SK6805-1515,22.443,138.139,Front,324.7,SK6805-1515 LED
LED100,SK6805-1515,24.48,132.552,Front,353.9,SK6805-1515 LED
LED101,SK6805-1515,24.532,130.312,Front,0,SK6805-1515 LED
LED102,SK6805-1515,24.532,128.071,Front,0,SK6805-1515 LED
LED103,SK6805-1515,24.532,125.83,Front,0,SK6805-1515 LED
LED104,SK6805-1515,24.532,123.589,Front,0,SK6805-1515 LED
LED105,SK6805-1515,24.532,121.348,Front,0,SK6805-1515 LED
LED106,SK6805-1515,24.532,119.107,Front,0,SK6805-1515 LED
LED107,SK6805-1515,24.532,116.866,Front,0,SK6805-1515 LED
LED108,SK6805-1515,24.532,114.625,Front,0,SK6805-1515 LED
LED109,SK6805-1515,24.532,112.384,Front,0,SK6805-1515 LED
LED110,SK6805-1515,24.532,110.143,Front,0,SK6805-1515 LED
LED111,SK6805-1515,24.532,107.902,Front,0,SK6805-1515 LED
LED112,SK6805-1515,24.532,105.661,Front,0,SK6805-1515 LED
LED113,SK6805-1515,24.532,103.42,Front,0,SK6805-1515 LED
LED114,SK6805-1515,24.532,101.179,Front,0,SK6805-1515 LED
LED115,SK6805-1515,24.532,98.938,Front,0,SK6805-1515 LED
LED116,SK6805-1515,24.532,96.697,Front,0,SK6805-1515 LED
LED117,SK6805-1515,24.532,94.456,Front,0,SK6805-1515 LED
LED118,SK6805-1515,24.532,92.215,Front,0,SK6805-1515 LED
LED119,SK6805-1515,24.857,90.01,Front,341,SK6805-1515 LED
LED120,SK6805-1515,25.958,88.073,Front,319.7,SK6805-1515 LED
LED121,SK6805-1515,27.686,86.666,Front,298.5,SK6805-1515 LED
LED122,SK6805-1515,29.806,85.982,Front,277.1,SK6805-1515 LED
LED123,SK6805-1515,32.045,85.935,Front,270,SK6805-1515 LED
LED124,SK6805-1515,34.286,85.935,Front,270,SK6805-1515 LED
LED125,SK6805-1515,36.527,85.935,Front,270,SK6805-1515 LED
LED126,SK6805-1515,38.768,85.935,Front,270,SK6805-1515 LED
LED127,SK6805-1515,60.523,85.935,Front,270,SK6805-1515 LED
LED128,SK6805-1515,62.554,85.935,Front,270,SK6805-1515 LED
LED129,SK6805-1515,64.585,85.935,Front,270,SK6805-1515 LED
LED130,SK6805-1515,66.616,85.935,Front,270,SK6805-1515 LED
